Year,Units,Total,Disaggregation,Region,GeoCode,Value
2016,%,Total,,,,20.0
2016,%,,Urban,,,31.6
2016,%,,Rural,,,7.3
2016,%,,Total,!Karas,1.0,24.7
2016,%,,Total,Erongo,2.0,33.0
2016,%,,Total,Hardap,3.0,11.9
2016,%,,Total,Kavango East,4.0,13.4
2016,%,,Total,Kavango West,5.0,4.5
2016,%,,Total,Khomas,6.0,40.1
2016,%,,Total,Kunene,7.0,90.7
2016,%,,Total,Ohangwena,8.0,8.1
2016,%,,Total,Omaheke,9.0,15.0
2016,%,,Total,Omusati,10.0,7.4
2016,%,,Total,Oshana,11.0,22.6
2016,%,,Total,Oshikoto,12.0,11.3
2016,%,,Total,Otjozondjupa,13.0,14.7
2016,%,,Total,Zambezi,14.0,12.8
