Year,Units,Total,Value
2004,Million Constant USD 2016,Total,46.64731
2005,Million Constant USD 2016,Total,34.22017
2006,Million Constant USD 2016,Total,28.28442
2007,Million Constant USD 2016,Total,29.50562
2008,Million Constant USD 2016,Total,33.840579999999996
2009,Million Constant USD 2016,Total,47.53841
2010,Million Constant USD 2016,Total,37.056670000000004
2011,Million Constant USD 2016,Total,73.67935
2012,Million Constant USD 2016,Total,23.504360000000002
2013,Million Constant USD 2016,Total,19.430770000000003
2014,Million Constant USD 2016,Total,61.69387
2015,Million Constant USD 2016,Total,101.34447
2016,Million Constant USD 2016,Total,246.64485
